Fasta headers,ND_1,ND_2,ND_3,KO_1,KO_2,KO_3,log2_fc_ND_KO,-log10_PVAL_ND_KO
sp|Q8CIG8|ANM5_MOUSE Protein arginine N-methyltransferase 5 OS=Mus musculus GN=Prmt5 PE=1 SV=3,0.02581529297305934,0.17655611786096229,0.04120481885106911,0.17651260977345035,0.038448771317643994,0.2647187361149697,-2.0988862772279675,0.410647267339247
tr|Q80TU6|Q80TU6_MOUSE MKIAA0670 protein (Fragment) OS=Mus musculus GN=Acin1 PE=2 SV=1;tr|Q52KR6|Q52KR6_MOUSE Acin1 protein OS=Mus musculus GN=Acin1 PE=1 SV=1,0.05925828650853894,0.135581810116497,0.06956321629051587,0.14201450583170908,0.07754578431289545,0.21282862115067727,-1.0296417558687392,0.539680235707613
tr|Q99JX6|Q99JX6_MOUSE Annexin OS=Mus musculus GN=Anxa6 PE=2 SV=1,0.04860851233618001,0.05182069954870525,0.05549159111049941,0.387864119538098,0.055912367363398795,0.29832803424998205,-2.5252991595702565,0.9202969486198372
tr|Q99KD6|Q99KD6_MOUSE Cox7a2l protein OS=Mus musculus GN=Cox7a2l PE=2 SV=1,0.07681556861322168,0.07570008490039043,0.07388269586840615,0.07932027103271336,0.26868136168151563,0.25119924522267173,-1.7304653060168995,0.9630835268782331
sp|P06728|APOA4_MOUSE Apolipoprotein A-IV OS=Mus musculus GN=Apoa4 PE=1 SV=3;tr|Q9DBN0|Q9DBN0_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Apoa4 PE=2 SV=1;tr|Q810I7|Q810I7_MOUSE Apoa4 protein OS=Mus musculus GN=Apoa4 PE=2 SV=1,0.07566783727086368,0.06607007477219118,0.08485822584791747,0.184152326406682,0.09517429807724946,0.1520960999465316,-1.0072310440066385,1.2072705925431106
tr|Q3TT51|Q3TT51_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Scg5 PE=1 SV=1;sp|P12961|7B2_MOUSE Neuroendocrine protein 7B2 OS=Mus musculus GN=Scg5 PE=1 SV=1,0.08745929672569774,0.06881480184550672,0.08850491305551933,0.2202889638604729,0.11297897052635564,0.1794973038134822,-1.0372785211952873,1.3108037235658487
tr|A2CEK9|A2CEK9_MOUSE Major urinary protein 1 (Fragment) OS=Mus musculus GN=Mup1 PE=4 SV=1;tr|Q8JZT0|Q8JZT0_MOUSE Mup1 protein OS=Mus musculus PE=2 SV=1;tr|A2BIN0|A2BIN0_MOUSE Major urinary protein 11 OS=Mus musculus GN=Mup11 PE=3 SV=1;tr|B8JI96|B8JI96_MO,0.07703074311852046,0.07314919941324281,0.062494642432343935,0.18963338000583815,0.10392801464796493,0.18677571283235117,-1.3523928881513134,1.4567187522934026
tr|Q2M4I8|Q2M4I8_MOUSE Ptpns1 OS=Mus musculus GN=Ptpns1 PE=4 SV=1,0.05948559148934329,0.05569064291733973,0.057647857711174345,0.29622884851963727,0.13498973034096787,0.2639849982670979,-2.1951170454005173,1.617195614966476
tr|Q8R318|Q8R318_MOUSE 2310005E10Rik protein OS=Mus musculus GN=Akr1b10 PE=2 SV=1,0.05055406351018017,0.051874955590035424,0.04864326946545386,0.18978662694971152,0.3366593732172442,0.17501550587509976,-1.9084793734411432,1.6254673238590702
tr|Q6ZPT2|Q6ZPT2_MOUSE MKIAA1352 protein (Fragment) OS=Mus musculus GN=Lars PE=2 SV=1,0.10339288197199767,0.06441978197437423,0.052993829712220525,0.12282923107608587,0.1758421910561322,0.1681550170141359,-1.3842161401398114,1.6600249468826767
tr|D5L240|D5L240_MOUSE Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=2 SV=1,0.029071034410695702,0.023379096625326435,0.03598922498457084,0.3607375475680077,0.18199980440322486,0.3495253661118432,-3.587742848407478,2.0072701965574877
